count,Date,ExpName,WorkLoad,No Operations,No Records,No_Threads,Runtime(ms),Thr(ops/sec),cleanup_lat(us),readFail_lat(us),Read_ReturnOk,Read_ReturnErr,read_lat(us),update_lat(us)
0,28/05/2019,ycsb-redis,workloads/workloada,1000,200,1,228.0,4385.964912280701,113.0,NULL,489.0,NULL,171.73824130879345,110.66340508806262
1,28/05/2019,ycsb-redis,workloads/workloada,1000,200,1,259.0,3861.003861003861,106.0,NULL,460.0,NULL,214.20434782608694,128.58333333333334
2,28/05/2019,ycsb-redis,workloads/workloada,1000,200,1,361.0,2770.083102493075,106.0,NULL,492.0,NULL,243.15040650406505,164.56692913385828
3,28/05/2019,ycsb-redis,workloads/workloada,1000,200,1,523.0,1912.0458891013384,110.0,NULL,505.0,NULL,326.6891089108911,431.88282828282826
4,28/05/2019,ycsb-redis,workloads/workloada,1000,200,1,181.0,5524.861878453039,81.0,NULL,501.0,NULL,138.97405189620758,86.95390781563127
5,28/05/2019,ycsb-redis,workloads/workloada,1000,200,1,181.0,5524.861878453039,83.0,NULL,491.0,NULL,140.44806517311608,87.54616895874263
6,28/05/2019,ycsb-redis,workloads/workloada,1000,200,1,193.0,5181.347150259067,107.0,NULL,509.0,NULL,145.52259332023576,93.73727087576374
7,28/05/2019,ycsb-redis,workloads/workloada,1000,200,1,188.0,5319.148936170212,108.0,NULL,504.0,NULL,149.28174603174602,90.78024193548387
8,28/05/2019,ycsb-redis,workloads/workloada,1000,200,1,238.0,4201.680672268908,80.0,NULL,512.0,NULL,183.408203125,121.77459016393442
9,28/05/2019,ycsb-redis,workloads/workloada,1000,200,1,185.0,5405.405405405405,79.0,NULL,517.0,NULL,136.71179883945842,90.83850931677019
10,28/05/2019,ycsb-redis,workloads/workloada,1000,200,1,189.0,5291.005291005291,106.0,NULL,543.0,NULL,136.8268876611418,96.77899343544858
