count,Date,ExpName,WorkLoad,No Operations,No Records,No_Threads,Runtime(ms),Thr(ops/sec),cleanup_lat(us),readFail_lat(us),Read_ReturnOk,Read_ReturnErr,read_lat(us),update_lat(us)
0,30/10/2019,ycsb-redis,workloads/workloada,1000,200,1,194.0,5154.639175257732,136.0,NULL,500.0,NULL,150.662,88.186
1,30/10/2019,ycsb-redis,workloads/workloada,1000,200,1,179.0,5586.592178770949,100.0,NULL,509.0,NULL,144.05893909626718,86.51731160896131
2,30/10/2019,ycsb-redis,workloads/workloada,1000,200,1,189.0,5291.005291005291,81.0,NULL,499.0,NULL,139.19839679358716,111.3373253493014
3,30/10/2019,ycsb-redis,workloads/workloada,1000,200,1,187.0,5347.593582887701,105.0,NULL,524.0,NULL,143.56870229007635,92.2626050420168
4,30/10/2019,ycsb-redis,workloads/workloada,1000,200,1,188.0,5319.148936170212,82.0,NULL,483.0,NULL,148.58178053830227,87.17021276595744
5,30/10/2019,ycsb-redis,workloads/workloada,1000,200,1,186.0,5376.344086021505,82.0,NULL,492.0,NULL,140.6361788617886,90.83464566929133
6,30/10/2019,ycsb-redis,workloads/workloada,1000,200,1,194.0,5154.639175257732,219.0,NULL,512.0,NULL,145.349609375,100.61680327868852
7,30/10/2019,ycsb-redis,workloads/workloada,1000,200,1,168.0,5952.380952380952,99.0,NULL,485.0,NULL,132.97938144329896,81.31650485436893
8,30/10/2019,ycsb-redis,workloads/workloada,1000,200,1,180.0,5555.555555555556,79.0,NULL,491.0,NULL,145.83095723014256,84.67779960707269
9,30/10/2019,ycsb-redis,workloads/workloada,1000,200,1,196.0,5102.040816326531,110.0,NULL,473.0,NULL,160.87103594080338,94.53510436432637
10,30/10/2019,ycsb-redis,workloads/workloada,1000,200,1,189.0,5291.005291005291,85.0,NULL,510.0,NULL,148.45882352941177,89.39591836734694
11,30/10/2019,ycsb-redis,workloads/workloada,1000,200,1,195.0,5128.205128205128,106.0,NULL,477.0,NULL,151.60377358490567,95.34225621414915
12,30/10/2019,ycsb-redis,workloads/workloada,1000,200,1,176.0,5681.818181818182,107.0,NULL,481.0,NULL,137.93970893970894,86.21579961464354
