count,Date,ExpName,WorkLoad,No Operations,No Records,No_Threads,Runtime(ms),Thr(ops/sec),cleanup_lat(us),readFail_lat(us),Read_ReturnOk,Read_ReturnErr,read_lat(us),update_lat(us)
0,28/05/2019,ycsb-redis,workloads/workloada,1000,700,1,200.0,5000.0,107.0,NULL,489.0,NULL,148.44376278118608,99.8825831702544
1,28/05/2019,ycsb-redis,workloads/workloada,1000,700,1,183.0,5464.48087431694,112.0,NULL,499.0,NULL,147.14829659318636,88.02794411177645
2,28/05/2019,ycsb-redis,workloads/workloada,1000,700,1,191.0,5235.602094240838,102.0,NULL,493.0,NULL,149.947261663286,87.36883629191321
3,28/05/2019,ycsb-redis,workloads/workloada,1000,700,1,194.0,5154.639175257732,106.0,NULL,511.0,NULL,143.86888454011742,96.84867075664621
4,28/05/2019,ycsb-redis,workloads/workloada,1000,700,1,254.0,3937.0078740157483,112.0,NULL,491.0,NULL,195.071283095723,126.63654223968565
5,28/05/2019,ycsb-redis,workloads/workloada,1000,700,1,288.0,3472.222222222222,111.0,NULL,524.0,NULL,216.9790076335878,127.43697478991596
6,28/05/2019,ycsb-redis,workloads/workloada,1000,700,1,387.0,2583.9793281653747,149.0,NULL,491.0,NULL,293.0896130346232,195.9567779960707
7,28/05/2019,ycsb-redis,workloads/workloada,1000,700,1,390.0,2564.102564102564,155.0,NULL,455.0,NULL,298.4747252747253,203.41284403669724
8,28/05/2019,ycsb-redis,workloads/workloada,1000,700,1,340.0,2941.176470588235,147.0,NULL,508.0,NULL,275.5767716535433,151.3089430894309
9,28/05/2019,ycsb-redis,workloads/workloada,1000,700,1,431.0,2320.185614849188,149.0,NULL,519.0,NULL,332.57996146435454,228.8170478170478
