count,Date,ExpName,WorkLoad,No Operations,No Records,No_Threads,Runtime(ms),Thr(ops/sec),cleanup_lat(us),readFail_lat(us),Read_ReturnOk,Read_ReturnErr,read_lat(us),update_lat(us)
0,22/05/2019,ycsb-memcached,workloads/workloada,100,400,1,165.0,606.060606060606,1987.0,NULL,52.0,NULL,535.4230769230769,1403.875
1,22/05/2019,ycsb-memcached,workloads/workloada,100,400,1,181.0,552.4861878453039,1791.0,NULL,46.0,NULL,1084.5217391304348,984.3333333333334
2,22/05/2019,ycsb-memcached,workloads/workloada,100,400,1,176.0,568.1818181818181,1817.0,NULL,48.0,NULL,1151.5,914.9038461538462
3,22/05/2019,ycsb-memcached,workloads/workloada,100,400,1,175.0,571.4285714285714,1736.0,NULL,51.0,NULL,540.0196078431372,1546.734693877551
4,22/05/2019,ycsb-memcached,workloads/workloada,100,400,1,167.0,598.8023952095808,1723.0,NULL,51.0,NULL,534.3333333333334,1439.0816326530612
5,22/05/2019,ycsb-memcached,workloads/workloada,100,400,1,165.0,606.060606060606,1816.0,NULL,56.0,NULL,840.1785714285714,1017.6136363636364
6,22/05/2019,ycsb-memcached,workloads/workloada,100,400,1,171.0,584.7953216374269,1831.0,NULL,49.0,NULL,548.4081632653061,1370.549019607843
7,22/05/2019,ycsb-memcached,workloads/workloada,100,400,1,167.0,598.8023952095808,1813.0,NULL,49.0,NULL,1067.6530612244899,889.1764705882352
8,22/05/2019,ycsb-memcached,workloads/workloada,100,400,1,230.0,434.7826086956522,8356.0,NULL,54.0,NULL,1410.7962962962963,1045.3478260869565
9,22/05/2019,ycsb-memcached,workloads/workloada,100,400,1,211.0,473.93364928909955,1862.0,NULL,52.0,NULL,1029.1346153846155,1124.0
