count,Date,ExpName,WorkLoad,No Operations,No Records,No_Threads,Runtime(ms),Thr(ops/sec),cleanup_lat(us),readFail_lat(us),Read_ReturnOk,Read_ReturnErr,read_lat(us),update_lat(us)
0,28/05/2019,ycsb-redis,workloads/workloada,1000,200,1,283.0,3533.5689045936397,115.0,NULL,494.0,NULL,196.12753036437246,140.88735177865613
1,28/05/2019,ycsb-redis,workloads/workloada,1000,200,1,289.0,3460.2076124567475,99.0,NULL,504.0,NULL,202.48015873015873,193.09879032258064
2,28/05/2019,ycsb-redis,workloads/workloada,1000,200,1,225.0,4444.444444444444,108.0,NULL,514.0,NULL,168.65953307392996,106.73662551440329
3,28/05/2019,ycsb-redis,workloads/workloada,1000,200,1,198.0,5050.50505050505,107.0,NULL,502.0,NULL,157.9980079681275,95.75301204819277
4,28/05/2019,ycsb-redis,workloads/workloada,1000,200,1,196.0,5102.040816326531,108.0,NULL,516.0,NULL,150.9496124031008,99.43388429752066
5,28/05/2019,ycsb-redis,workloads/workloada,1000,200,1,195.0,5128.205128205128,107.0,NULL,505.0,NULL,151.15643564356435,97.74949494949495
6,28/05/2019,ycsb-redis,workloads/workloada,1000,200,1,192.0,5208.333333333333,106.0,NULL,489.0,NULL,147.37423312883436,96.75342465753425
7,28/05/2019,ycsb-redis,workloads/workloada,1000,200,1,181.0,5524.861878453039,88.0,NULL,518.0,NULL,143.15444015444015,86.53319502074689
8,28/05/2019,ycsb-redis,workloads/workloada,1000,200,1,189.0,5291.005291005291,112.0,NULL,526.0,NULL,145.84220532319392,92.14767932489451
9,28/05/2019,ycsb-redis,workloads/workloada,1000,200,1,189.0,5291.005291005291,106.0,NULL,495.0,NULL,151.53939393939393,90.8970297029703
