count,Date,ExpName,WorkLoad,No Operations,No Records,No_Threads,Runtime(ms),Thr(ops/sec),cleanup_lat(us),readFail_lat(us),Read_ReturnOk,Read_ReturnErr,read_lat(us),update_lat(us)
0,22/05/2019,ycsb-memcached,workloads/workloada,100,100,1,189.0,529.1005291005291,1760.0,NULL,54.0,NULL,1037.4259259259259,1186.6304347826087
1,22/05/2019,ycsb-memcached,workloads/workloada,100,100,1,245.0,408.16326530612247,2739.0,NULL,45.0,NULL,1340.2666666666667,1195.2363636363636
2,22/05/2019,ycsb-memcached,workloads/workloada,100,100,1,190.0,526.3157894736842,2105.0,NULL,52.0,NULL,1072.6923076923076,1144.0833333333333
3,22/05/2019,ycsb-memcached,workloads/workloada,100,100,1,224.0,446.42857142857144,2143.0,NULL,50.0,NULL,746.64,1992.16
4,22/05/2019,ycsb-memcached,workloads/workloada,100,100,1,188.0,531.9148936170212,1899.0,NULL,48.0,NULL,1089.0208333333333,1115.7115384615386
5,22/05/2019,ycsb-memcached,workloads/workloada,100,100,1,205.0,487.8048780487805,2165.0,NULL,55.0,NULL,621.0545454545454,1845.5333333333333
6,22/05/2019,ycsb-memcached,workloads/workloada,100,100,1,200.0,500.0,2941.0,NULL,43.0,NULL,631.1860465116279,1591.5087719298247
7,22/05/2019,ycsb-memcached,workloads/workloada,100,100,1,187.0,534.75935828877,2137.0,NULL,49.0,NULL,632.0204081632653,1494.549019607843
8,22/05/2019,ycsb-memcached,workloads/workloada,100,100,1,204.0,490.19607843137254,4013.0,NULL,50.0,NULL,678.34,1683.06
9,22/05/2019,ycsb-memcached,workloads/workloada,100,100,1,227.0,440.52863436123346,4234.0,NULL,54.0,NULL,735.0185185185185,2024.0
