count,Date,ExpName,WorkLoad,No Operations,No Records,No_Threads,Runtime(ms),Thr(ops/sec),cleanup_lat(us),readFail_lat(us),Read_ReturnOk,Read_ReturnErr,read_lat(us),update_lat(us)
0,21/05/2019,ycsb-redis,workloads/workloada,200,500,2,60.0,3333.3333333333335,81.0,NULL,99.0,NULL,266.2121212121212,162.69306930693068
1,21/05/2019,ycsb-redis,workloads/workloada,200,500,2,64.0,3125.0,61.5,NULL,96.0,NULL,349.6041666666667,167.3653846153846
2,21/05/2019,ycsb-redis,workloads/workloada,200,500,2,93.0,2150.537634408602,89.5,NULL,97.0,NULL,426.49484536082474,238.18446601941747
3,21/05/2019,ycsb-redis,workloads/workloada,200,500,2,66.0,3030.3030303030305,95.0,NULL,99.0,NULL,296.34343434343435,178.13861386138615
4,21/05/2019,ycsb-redis,workloads/workloada,200,500,2,68.0,2941.176470588235,56.0,NULL,91.0,NULL,493.032967032967,166.0275229357798
5,21/05/2019,ycsb-redis,workloads/workloada,200,500,2,62.0,3225.8064516129034,87.5,NULL,105.0,NULL,404.6952380952381,137.0
6,21/05/2019,ycsb-redis,workloads/workloada,200,500,2,72.0,2777.777777777778,51.0,NULL,94.0,NULL,334.6808510638298,260.7641509433962
7,21/05/2019,ycsb-redis,workloads/workloada,200,500,2,71.0,2816.9014084507044,60.0,NULL,100.0,NULL,370.88,203.69
8,21/05/2019,ycsb-redis,workloads/workloada,200,500,2,68.0,2941.176470588235,55.5,NULL,97.0,NULL,325.21649484536084,198.53398058252426
9,21/05/2019,ycsb-redis,workloads/workloada,200,500,2,71.0,2816.9014084507044,80.0,NULL,98.0,NULL,404.2142857142857,152.2058823529412
10,21/05/2019,ycsb-redis,workloads/workloada,200,500,2,66.0,3030.3030303030305,50.5,NULL,105.0,NULL,410.9428571428571,158.02105263157895
11,21/05/2019,ycsb-redis,workloads/workloada,200,500,2,69.0,2898.550724637681,58.0,NULL,97.0,NULL,369.5979381443299,188.46601941747574
12,21/05/2019,ycsb-redis,workloads/workloada,200,500,2,67.0,2985.0746268656717,77.5,NULL,93.0,NULL,310.61290322580646,171.98130841121494
13,21/05/2019,ycsb-redis,workloads/workloada,200,500,2,72.0,2777.777777777778,70.0,NULL,102.0,NULL,385.5,170.55102040816325
