count,Date,ExpName,WorkLoad,No Operations,No Records,No_Threads,Runtime(ms),Thr(ops/sec),cleanup_lat(us),readFail_lat(us),Read_ReturnOk,Read_ReturnErr,read_lat(us),update_lat(us)
0,31/10/2019,ycsb-redis,workloads/workloada,900,200,1,175.0,5142.857142857143,78.0,NULL,465.0,NULL,156.3763440860215,90.8919540229885
1,31/10/2019,ycsb-redis,workloads/workloada,900,200,1,163.0,5521.472392638037,85.0,NULL,423.0,NULL,140.03309692671394,87.88259958071279
2,31/10/2019,ycsb-redis,workloads/workloada,900,200,1,171.0,5263.1578947368425,76.0,NULL,447.0,NULL,153.12527964205816,85.00220750551877
3,31/10/2019,ycsb-redis,workloads/workloada,900,200,1,169.0,5325.443786982249,77.0,NULL,449.0,NULL,140.31625835189308,89.10421286031043
4,31/10/2019,ycsb-redis,workloads/workloada,900,200,1,175.0,5142.857142857143,103.0,NULL,447.0,NULL,143.2192393736018,96.10154525386314
5,31/10/2019,ycsb-redis,workloads/workloada,900,200,1,168.0,5357.142857142857,78.0,NULL,450.0,NULL,149.4622222222222,82.96666666666667
6,31/10/2019,ycsb-redis,workloads/workloada,900,200,1,174.0,5172.413793103448,81.0,NULL,466.0,NULL,146.19742489270385,96.11520737327189
7,31/10/2019,ycsb-redis,workloads/workloada,900,200,1,170.0,5294.117647058823,109.0,NULL,437.0,NULL,152.9771167048055,86.46652267818574
8,31/10/2019,ycsb-redis,workloads/workloada,900,200,1,172.0,5232.558139534884,99.0,NULL,415.0,NULL,160.07469879518072,86.46185567010309
9,31/10/2019,ycsb-redis,workloads/workloada,900,200,1,178.0,5056.179775280899,102.0,NULL,445.0,NULL,149.74606741573032,94.66373626373627
10,31/10/2019,ycsb-redis,workloads/workloada,900,200,1,166.0,5421.686746987952,85.0,NULL,433.0,NULL,139.98845265588915,89.95289079229121
11,31/10/2019,ycsb-redis,workloads/workloada,900,200,1,175.0,5142.857142857143,109.0,NULL,472.0,NULL,146.9364406779661,92.50233644859813
12,31/10/2019,ycsb-redis,workloads/workloada,900,200,1,170.0,5294.117647058823,78.0,NULL,453.0,NULL,156.34878587196468,85.4944071588367
13,31/10/2019,ycsb-redis,workloads/workloada,900,200,1,168.0,5357.142857142857,77.0,NULL,432.0,NULL,150.0162037037037,82.00854700854701
