STime,Disrubtion,Bench,No Operations,No Records,No Threads
0,28,ycsb-redis,50,55,1
1,92,ycsb-redis,50,25,1
3,78,ycsb-redis,40,15,1
5,20,ycsb-redis,30,55,1
8,36,ycsb-redis,50,15,1
12,57,ycsb-redis,10,45,1
15,50,ycsb-redis,10,25,1
22,23,ycsb-redis,40,25,1
24,82,ycsb-redis,30,15,1
25,65,ycsb-redis,100,95,1
29,84,ycsb-redis,20,25,1
30,90,ycsb-redis,50,45,1
31,54,ycsb-redis,50,95,1
32,10,ycsb-redis,10,55,1
36,64,ycsb-redis,100,55,1
37,68,ycsb-redis,50,35,1
39,53,ycsb-redis,20,35,1
40,24,ycsb-redis,100,45,1
44,35,ycsb-redis,10,35,1
47,98,ycsb-redis,40,95,1
56,96,ycsb-redis,20,45,1
57,63,ycsb-redis,30,95,1
58,93,ycsb-redis,100,15,1
59,69,ycsb-redis,20,15,1
60,91,ycsb-redis,10,95,1
66,31,ycsb-redis,30,45,1
78,14,ycsb-redis,100,35,1
82,48,ycsb-redis,40,45,1
83,16,ycsb-redis,30,35,1
84,61,ycsb-redis,40,55,1
85,46,ycsb-redis,20,55,1
88,11,ycsb-redis,40,35,1
89,70,ycsb-redis,10,15,1
92,79,ycsb-redis,30,25,1
93,17,ycsb-redis,20,95,1
98,39,ycsb-redis,100,25,1
