STime,Disrubtion,Bench,No Operations,No Records,No Threads
5,72,ycsb-redis,40,25,1
7,17,ycsb-redis,30,25,1
10,13,ycsb-redis,50,25,1
12,36,ycsb-redis,40,35,1
17,31,ycsb-redis,20,95,1
18,61,ycsb-redis,10,95,1
19,49,ycsb-redis,40,55,1
22,37,ycsb-redis,30,45,1
24,93,ycsb-redis,10,35,1
28,96,ycsb-redis,30,35,1
29,55,ycsb-redis,10,45,1
30,40,ycsb-redis,30,15,1
32,50,ycsb-redis,30,55,1
34,76,ycsb-redis,20,35,1
35,23,ycsb-redis,100,55,1
38,95,ycsb-redis,40,15,1
39,26,ycsb-redis,10,15,1
48,81,ycsb-redis,50,45,1
49,77,ycsb-redis,100,25,1
51,35,ycsb-redis,20,55,1
58,46,ycsb-redis,50,35,1
60,68,ycsb-redis,20,25,1
63,79,ycsb-redis,30,95,1
64,89,ycsb-redis,10,25,1
69,57,ycsb-redis,10,55,1
71,39,ycsb-redis,100,35,1
72,38,ycsb-redis,50,15,1
73,48,ycsb-redis,50,95,1
74,66,ycsb-redis,20,15,1
79,25,ycsb-redis,50,55,1
84,43,ycsb-redis,100,15,1
88,24,ycsb-redis,100,95,1
90,74,ycsb-redis,100,45,1
92,73,ycsb-redis,20,45,1
94,99,ycsb-redis,40,95,1
95,29,ycsb-redis,40,45,1
