STime,Disrubtion,Bench,No Operations,No Records,No Threads
0,90,ycsb-memcached,100,100,1
3,69,ycsb-memcached,200,100,1
6,47,ycsb-memcached,100,100,2
10,41,ycsb-memcached,200,1000,1
11,42,ycsb-memcached,500,400,2
29,82,ycsb-memcached,200,100,2
34,77,ycsb-memcached,200,1000,2
40,76,ycsb-memcached,100,1000,2
45,50,ycsb-memcached,200,400,2
48,29,ycsb-memcached,100,1000,1
51,60,ycsb-memcached,100,400,1
58,98,ycsb-memcached,200,400,1
63,43,ycsb-memcached,500,100,1
65,57,ycsb-memcached,500,1000,2
70,53,ycsb-memcached,500,100,2
81,17,ycsb-memcached,500,1000,1
90,48,ycsb-memcached,100,400,2
97,24,ycsb-memcached,500,400,1
