STime,Disrubtion,Bench,No Operations,No Records,No Threads
0,34,ycsb-redis,90,25,1
1,46,ycsb-redis,10,25,1
3,30,ycsb-redis,100,35,1
5,86,ycsb-redis,60,65,1
6,61,ycsb-redis,10,75,1
7,78,ycsb-redis,20,75,1
8,36,ycsb-redis,90,95,1
9,75,ycsb-redis,40,95,1
10,53,ycsb-redis,20,25,1
11,48,ycsb-redis,60,75,1
12,31,ycsb-redis,30,35,1
13,55,ycsb-redis,60,85,1
14,42,ycsb-redis,100,45,1
15,88,ycsb-redis,50,35,1
16,19,ycsb-redis,90,85,1
17,24,ycsb-redis,90,15,1
20,57,ycsb-redis,20,95,1
21,22,ycsb-redis,20,65,1
22,15,ycsb-redis,50,45,1
23,74,ycsb-redis,100,95,1
24,90,ycsb-redis,10,95,1
25,85,ycsb-redis,10,65,1
26,56,ycsb-redis,10,85,1
27,89,ycsb-redis,80,65,1
28,67,ycsb-redis,40,85,1
29,45,ycsb-redis,30,95,1
30,92,ycsb-redis,60,55,1
31,17,ycsb-redis,100,15,1
32,68,ycsb-redis,50,95,1
33,29,ycsb-redis,90,45,1
34,69,ycsb-redis,50,15,1
35,52,ycsb-redis,60,45,1
36,25,ycsb-redis,80,35,1
37,58,ycsb-redis,70,65,1
38,64,ycsb-redis,20,15,1
39,99,ycsb-redis,30,75,1
40,60,ycsb-redis,30,15,1
41,14,ycsb-redis,60,15,1
42,93,ycsb-redis,100,55,1
43,20,ycsb-redis,80,25,1
44,43,ycsb-redis,70,15,1
46,16,ycsb-redis,60,35,1
48,39,ycsb-redis,40,25,1
49,72,ycsb-redis,80,85,1
50,50,ycsb-redis,10,45,1
51,73,ycsb-redis,30,85,1
52,97,ycsb-redis,20,45,1
53,77,ycsb-redis,70,35,1
54,35,ycsb-redis,40,45,1
55,47,ycsb-redis,90,65,1
56,41,ycsb-redis,10,55,1
58,28,ycsb-redis,20,35,1
59,66,ycsb-redis,80,75,1
61,23,ycsb-redis,60,25,1
62,38,ycsb-redis,60,95,1
63,87,ycsb-redis,20,85,1
64,10,ycsb-redis,50,75,1
65,18,ycsb-redis,50,85,1
66,91,ycsb-redis,30,55,1
67,27,ycsb-redis,10,35,1
68,44,ycsb-redis,70,45,1
69,26,ycsb-redis,100,65,1
70,95,ycsb-redis,100,25,1
71,98,ycsb-redis,50,25,1
72,12,ycsb-redis,10,15,1
73,13,ycsb-redis,30,45,1
75,71,ycsb-redis,30,25,1
76,83,ycsb-redis,90,35,1
77,76,ycsb-redis,100,85,1
78,54,ycsb-redis,80,45,1
79,11,ycsb-redis,50,55,1
81,40,ycsb-redis,80,95,1
82,62,ycsb-redis,30,65,1
83,96,ycsb-redis,50,65,1
84,82,ycsb-redis,90,75,1
85,70,ycsb-redis,40,35,1
86,21,ycsb-redis,70,25,1
87,80,ycsb-redis,100,75,1
88,79,ycsb-redis,40,65,1
89,37,ycsb-redis,80,15,1
90,32,ycsb-redis,70,55,1
91,59,ycsb-redis,70,95,1
92,63,ycsb-redis,80,55,1
93,33,ycsb-redis,40,15,1
94,49,ycsb-redis,40,55,1
95,65,ycsb-redis,70,75,1
96,84,ycsb-redis,20,55,1
97,51,ycsb-redis,90,55,1
98,81,ycsb-redis,40,75,1
99,94,ycsb-redis,70,85,1
