STime,Disrubtion,Bench,No Operations,No Records,No Threads
0,39,ycsb-redis,1500,1000,1
2,53,ycsb-redis,300,700,3
3,35,ycsb-redis,1500,1000,3
4,96,ycsb-redis,300,900,3
9,30,ycsb-redis,300,700,1
12,17,ycsb-redis,700,500,1
13,20,ycsb-redis,1500,900,3
14,60,ycsb-redis,500,700,3
16,80,ycsb-redis,300,500,3
17,94,ycsb-redis,700,500,3
19,32,ycsb-redis,700,200,1
20,26,ycsb-redis,1000,700,3
21,66,ycsb-redis,700,900,1
23,21,ycsb-redis,700,700,3
24,85,ycsb-redis,1000,200,1
27,34,ycsb-redis,1000,900,1
31,58,ycsb-redis,1500,900,1
32,41,ycsb-redis,1000,500,1
35,65,ycsb-redis,700,700,1
36,23,ycsb-redis,300,1000,1
37,36,ycsb-redis,1500,700,3
38,69,ycsb-redis,1500,200,1
39,77,ycsb-redis,1500,700,1
40,33,ycsb-redis,1000,700,1
43,74,ycsb-redis,700,900,3
46,43,ycsb-redis,1500,500,3
49,71,ycsb-redis,500,1000,1
50,28,ycsb-redis,300,200,1
52,10,ycsb-redis,1000,1000,3
55,47,ycsb-redis,500,500,1
57,78,ycsb-redis,1000,900,3
58,55,ycsb-redis,500,200,1
61,14,ycsb-redis,300,900,1
70,61,ycsb-redis,300,500,1
71,86,ycsb-redis,1000,500,3
74,19,ycsb-redis,500,900,1
78,64,ycsb-redis,1500,200,3
80,91,ycsb-redis,700,1000,1
81,27,ycsb-redis,1000,200,3
82,76,ycsb-redis,500,1000,3
84,88,ycsb-redis,1500,500,1
88,50,ycsb-redis,700,200,3
89,87,ycsb-redis,500,900,3
90,25,ycsb-redis,300,200,3
92,52,ycsb-redis,700,1000,3
93,11,ycsb-redis,500,700,1
95,82,ycsb-redis,300,1000,3
97,15,ycsb-redis,500,500,3
98,90,ycsb-redis,1000,1000,1
99,59,ycsb-redis,500,200,3
