STime,Disrubtion,Bench,No Operations,No Records,No Threads
6,56,ycsb-redis,50,35,1
7,96,ycsb-redis,50,25,1
12,58,ycsb-redis,100,25,1
15,84,ycsb-redis,100,95,1
17,69,ycsb-redis,30,95,1
18,54,ycsb-redis,20,35,1
19,86,ycsb-redis,20,95,1
21,47,ycsb-redis,10,25,1
22,15,ycsb-redis,50,55,1
25,79,ycsb-redis,30,45,1
26,41,ycsb-redis,40,25,1
28,85,ycsb-redis,100,35,1
29,98,ycsb-redis,30,15,1
30,71,ycsb-redis,50,95,1
36,52,ycsb-redis,40,35,1
41,73,ycsb-redis,100,15,1
44,32,ycsb-redis,40,45,1
48,57,ycsb-redis,30,25,1
49,44,ycsb-redis,50,45,1
51,68,ycsb-redis,20,45,1
52,43,ycsb-redis,100,45,1
53,67,ycsb-redis,30,35,1
55,36,ycsb-redis,10,35,1
58,64,ycsb-redis,10,55,1
62,92,ycsb-redis,40,95,1
67,24,ycsb-redis,30,55,1
68,81,ycsb-redis,10,15,1
75,39,ycsb-redis,40,55,1
84,46,ycsb-redis,50,15,1
88,49,ycsb-redis,20,15,1
90,42,ycsb-redis,10,95,1
93,55,ycsb-redis,100,55,1
94,22,ycsb-redis,20,55,1
97,51,ycsb-redis,20,25,1
98,19,ycsb-redis,10,45,1
99,25,ycsb-redis,40,15,1
