STime,Disrubtion,Bench,No Operations,No Records,No Threads
0,92,ycsb-redis,200,400,1
1,44,ycsb-redis,100,300,1
2,77,ycsb-redis,300,300,1
3,78,ycsb-redis,400,100,1
6,40,ycsb-redis,450,300,1
7,99,ycsb-redis,500,200,1
8,62,ycsb-redis,450,400,1
9,67,ycsb-redis,150,100,1
16,66,ycsb-redis,250,300,1
20,42,ycsb-redis,350,100,1
22,29,ycsb-redis,200,500,1
24,26,ycsb-redis,350,200,1
25,41,ycsb-redis,400,200,1
27,76,ycsb-redis,300,500,1
28,49,ycsb-redis,150,400,1
30,86,ycsb-redis,200,100,1
36,14,ycsb-redis,250,500,1
37,19,ycsb-redis,350,400,1
38,79,ycsb-redis,250,400,1
39,17,ycsb-redis,150,200,1
40,57,ycsb-redis,350,300,1
41,59,ycsb-redis,400,300,1
43,48,ycsb-redis,100,100,1
46,12,ycsb-redis,250,200,1
47,83,ycsb-redis,300,200,1
48,71,ycsb-redis,350,500,1
51,53,ycsb-redis,400,500,1
53,75,ycsb-redis,250,100,1
54,20,ycsb-redis,200,200,1
56,65,ycsb-redis,200,300,1
57,58,ycsb-redis,400,400,1
65,45,ycsb-redis,300,100,1
67,56,ycsb-redis,450,500,1
68,72,ycsb-redis,300,400,1
69,70,ycsb-redis,100,200,1
73,46,ycsb-redis,450,200,1
74,93,ycsb-redis,500,500,1
77,31,ycsb-redis,450,100,1
78,34,ycsb-redis,500,100,1
81,63,ycsb-redis,500,400,1
83,24,ycsb-redis,100,400,1
85,54,ycsb-redis,150,500,1
86,38,ycsb-redis,100,500,1
93,23,ycsb-redis,150,300,1
97,91,ycsb-redis,500,300,1
