STime,Disrubtion,Bench,No Operations,No Records,No Threads
2,63,ycsb-redis,50,15,1
3,20,ycsb-redis,40,15,1
6,53,ycsb-redis,40,55,1
7,81,ycsb-redis,40,25,1
9,59,ycsb-redis,20,25,1
14,82,ycsb-redis,10,35,1
15,47,ycsb-redis,40,35,1
19,55,ycsb-redis,40,95,1
20,95,ycsb-redis,30,95,1
22,21,ycsb-redis,20,15,1
24,77,ycsb-redis,20,35,1
30,85,ycsb-redis,100,55,1
31,18,ycsb-redis,50,35,1
36,39,ycsb-redis,10,45,1
39,46,ycsb-redis,30,35,1
40,92,ycsb-redis,10,55,1
42,86,ycsb-redis,100,15,1
49,89,ycsb-redis,30,15,1
52,93,ycsb-redis,50,25,1
53,32,ycsb-redis,20,45,1
56,68,ycsb-redis,30,45,1
57,64,ycsb-redis,30,55,1
59,83,ycsb-redis,10,95,1
64,69,ycsb-redis,30,25,1
65,91,ycsb-redis,100,25,1
71,50,ycsb-redis,100,35,1
74,14,ycsb-redis,50,55,1
78,11,ycsb-redis,10,25,1
81,29,ycsb-redis,20,55,1
83,15,ycsb-redis,100,95,1
85,60,ycsb-redis,40,45,1
86,61,ycsb-redis,10,15,1
89,54,ycsb-redis,50,45,1
93,67,ycsb-redis,100,45,1
98,26,ycsb-redis,20,95,1
99,88,ycsb-redis,50,95,1
