STime,Disrubtion,Bench,No Operations,No Records,No Threads
0,12,ycsb-redis,100,100,1
2,29,ycsb-redis,100,200,3
3,85,ycsb-redis,400,400,3
4,61,ycsb-redis,500,200,1
5,92,ycsb-redis,500,400,3
6,18,ycsb-redis,400,300,1
7,17,ycsb-redis,400,400,1
8,32,ycsb-redis,450,500,3
9,95,ycsb-redis,500,300,1
11,25,ycsb-redis,300,200,3
12,66,ycsb-redis,450,200,1
13,16,ycsb-redis,200,500,1
14,80,ycsb-redis,100,400,3
16,60,ycsb-redis,300,300,3
17,42,ycsb-redis,200,100,3
18,30,ycsb-redis,400,300,3
19,76,ycsb-redis,300,300,1
20,67,ycsb-redis,150,200,3
21,63,ycsb-redis,100,300,3
22,96,ycsb-redis,350,100,1
24,59,ycsb-redis,450,300,1
25,41,ycsb-redis,200,100,1
26,26,ycsb-redis,300,500,1
27,78,ycsb-redis,300,100,3
28,28,ycsb-redis,350,200,1
29,71,ycsb-redis,350,300,3
30,11,ycsb-redis,300,200,1
32,33,ycsb-redis,250,200,3
34,19,ycsb-redis,150,100,3
35,93,ycsb-redis,250,400,3
36,82,ycsb-redis,150,100,1
37,99,ycsb-redis,100,500,3
38,79,ycsb-redis,250,100,3
39,31,ycsb-redis,500,100,1
40,68,ycsb-redis,400,100,1
41,48,ycsb-redis,250,300,3
42,46,ycsb-redis,200,200,1
43,14,ycsb-redis,450,500,1
44,57,ycsb-redis,100,400,1
45,90,ycsb-redis,250,300,1
46,81,ycsb-redis,500,500,1
47,87,ycsb-redis,200,300,1
48,70,ycsb-redis,400,200,1
49,64,ycsb-redis,100,200,1
50,77,ycsb-redis,250,500,1
52,86,ycsb-redis,250,200,1
54,39,ycsb-redis,100,300,1
55,56,ycsb-redis,400,500,1
56,47,ycsb-redis,350,200,3
57,21,ycsb-redis,450,400,3
58,73,ycsb-redis,150,200,1
59,91,ycsb-redis,450,400,1
60,44,ycsb-redis,350,500,1
61,62,ycsb-redis,350,100,3
62,45,ycsb-redis,450,100,3
63,10,ycsb-redis,150,400,1
64,38,ycsb-redis,300,500,3
65,89,ycsb-redis,350,300,1
66,88,ycsb-redis,200,200,3
67,72,ycsb-redis,500,100,3
68,49,ycsb-redis,400,200,3
69,55,ycsb-redis,200,400,3
70,37,ycsb-redis,350,400,1
71,15,ycsb-redis,500,200,3
72,97,ycsb-redis,500,500,3
73,36,ycsb-redis,150,500,1
74,53,ycsb-redis,250,100,1
76,35,ycsb-redis,150,500,3
77,24,ycsb-redis,300,100,1
78,58,ycsb-redis,450,300,3
79,23,ycsb-redis,150,400,3
80,83,ycsb-redis,100,500,1
81,27,ycsb-redis,100,100,3
82,69,ycsb-redis,400,100,3
83,98,ycsb-redis,200,300,3
84,22,ycsb-redis,300,400,1
85,51,ycsb-redis,500,400,1
86,65,ycsb-redis,450,200,3
87,43,ycsb-redis,350,400,3
88,54,ycsb-redis,400,500,3
89,84,ycsb-redis,150,300,3
90,40,ycsb-redis,200,500,3
91,34,ycsb-redis,250,400,1
93,52,ycsb-redis,300,400,3
94,13,ycsb-redis,500,300,3
95,94,ycsb-redis,250,500,3
96,75,ycsb-redis,200,400,1
97,74,ycsb-redis,150,300,1
98,20,ycsb-redis,350,500,3
99,50,ycsb-redis,450,100,1
