STime,Disrubtion,Bench,No Operations,No Records,No Threads
2,80,ycsb-redis,10,95,1
3,48,ycsb-redis,20,25,1
6,52,ycsb-redis,100,45,1
8,11,ycsb-redis,100,25,1
10,51,ycsb-redis,50,25,1
11,22,ycsb-redis,100,15,1
12,70,ycsb-redis,10,35,1
16,91,ycsb-redis,20,35,1
19,46,ycsb-redis,50,95,1
24,79,ycsb-redis,30,55,1
25,59,ycsb-redis,20,95,1
28,30,ycsb-redis,10,55,1
29,63,ycsb-redis,20,55,1
31,58,ycsb-redis,100,55,1
34,86,ycsb-redis,20,15,1
43,37,ycsb-redis,40,95,1
45,82,ycsb-redis,10,15,1
47,21,ycsb-redis,40,25,1
49,24,ycsb-redis,50,15,1
50,40,ycsb-redis,30,95,1
55,15,ycsb-redis,30,45,1
61,88,ycsb-redis,30,35,1
63,29,ycsb-redis,20,45,1
66,32,ycsb-redis,10,25,1
68,66,ycsb-redis,50,55,1
70,84,ycsb-redis,40,55,1
72,85,ycsb-redis,40,35,1
77,61,ycsb-redis,10,45,1
81,53,ycsb-redis,30,15,1
84,97,ycsb-redis,50,45,1
85,16,ycsb-redis,100,95,1
87,98,ycsb-redis,50,35,1
91,67,ycsb-redis,40,45,1
93,38,ycsb-redis,40,15,1
97,99,ycsb-redis,100,35,1
98,23,ycsb-redis,30,25,1
