STime,Disrubtion,Bench,No Operations,No Records,No Threads
1,73,ycsb-redis,3,7,1
3,41,ycsb-redis,3,9,1
4,46,ycsb-redis,8,6,1
6,49,ycsb-redis,2,4,1
7,13,ycsb-redis,6,4,1
9,48,ycsb-redis,3,3,1
10,64,ycsb-redis,6,10,1
11,31,ycsb-redis,5,5,1
12,18,ycsb-redis,7,3,1
13,72,ycsb-redis,10,8,1
15,99,ycsb-redis,4,10,1
16,82,ycsb-redis,6,8,1
17,30,ycsb-redis,10,6,1
18,88,ycsb-redis,8,5,1
20,12,ycsb-redis,5,4,1
22,24,ycsb-redis,1,6,1
23,23,ycsb-redis,10,7,1
24,80,ycsb-redis,10,5,1
25,55,ycsb-redis,3,5,1
26,26,ycsb-redis,8,10,1
27,37,ycsb-redis,6,3,1
28,63,ycsb-redis,1,10,1
29,79,ycsb-redis,5,9,1
30,54,ycsb-redis,9,6,1
31,20,ycsb-redis,8,3,1
34,15,ycsb-redis,2,8,1
35,95,ycsb-redis,9,8,1
36,47,ycsb-redis,3,10,1
37,74,ycsb-redis,5,8,1
38,85,ycsb-redis,4,3,1
40,35,ycsb-redis,5,7,1
41,61,ycsb-redis,4,7,1
42,71,ycsb-redis,2,5,1
44,81,ycsb-redis,8,7,1
45,25,ycsb-redis,1,9,1
46,21,ycsb-redis,3,6,1
47,83,ycsb-redis,2,3,1
49,19,ycsb-redis,5,3,1
50,76,ycsb-redis,6,9,1
51,50,ycsb-redis,5,6,1
52,66,ycsb-redis,9,9,1
55,84,ycsb-redis,3,8,1
56,22,ycsb-redis,4,5,1
58,69,ycsb-redis,9,4,1
59,51,ycsb-redis,8,4,1
60,94,ycsb-redis,5,10,1
61,43,ycsb-redis,7,10,1
62,39,ycsb-redis,9,7,1
63,62,ycsb-redis,2,6,1
64,52,ycsb-redis,2,10,1
65,16,ycsb-redis,10,3,1
66,68,ycsb-redis,10,10,1
67,36,ycsb-redis,9,5,1
69,45,ycsb-redis,1,3,1
70,27,ycsb-redis,2,9,1
71,65,ycsb-redis,7,6,1
72,44,ycsb-redis,3,4,1
73,98,ycsb-redis,7,5,1
74,10,ycsb-redis,8,9,1
75,77,ycsb-redis,4,4,1
76,91,ycsb-redis,8,8,1
77,32,ycsb-redis,9,3,1
78,28,ycsb-redis,1,4,1
79,75,ycsb-redis,6,6,1
80,11,ycsb-redis,7,7,1
82,40,ycsb-redis,10,9,1
83,89,ycsb-redis,9,10,1
84,17,ycsb-redis,1,8,1
86,97,ycsb-redis,4,6,1
88,59,ycsb-redis,6,5,1
89,78,ycsb-redis,10,4,1
90,70,ycsb-redis,2,7,1
91,60,ycsb-redis,4,9,1
92,53,ycsb-redis,6,7,1
93,87,ycsb-redis,7,4,1
95,42,ycsb-redis,7,8,1
96,67,ycsb-redis,4,8,1
97,92,ycsb-redis,7,9,1
98,56,ycsb-redis,1,5,1
99,34,ycsb-redis,1,7,1
