count,Date,ExpName,WorkLoad,No Operations,No Records,No_Threads,Runtime(ms),Thr(ops/sec),cleanup_lat(us),readFail_lat(us),Read_ReturnOk,Read_ReturnErr,read_lat(us),update_lat(us)
0,27/03/2019,ycsb-redis,workloads/workloada,2030,1530,31,215.0,9441.860465116279,28.903225806451612,NULL,1018.0,NULL,1809.3840864440078,1096.0978260869565
1,27/03/2019,ycsb-redis,workloads/workloada,2060,1560,31,201.0,10248.756218905473,27.870967741935484,NULL,1016.0,NULL,1759.4596456692914,1311.4166666666667
2,27/03/2019,ycsb-redis,workloads/workloada,2090,1590,61,209.0,10000.0,47.40983606557377,NULL,1040.0,NULL,888.7153846153847,911.4838095238096
3,27/03/2019,ycsb-redis,workloads/workloada,2120,1620,61,232.0,9137.931034482759,86.32786885245902,NULL,1089.0,NULL,2525.1340679522496,2504.4238603297767
4,27/03/2019,ycsb-redis,workloads/workloada,2150,1650,91,280.0,7678.571428571428,43.0,NULL,1076.0,NULL,1683.3615241635687,1342.851024208566
5,27/03/2019,ycsb-redis,workloads/workloada,2180,1680,91,292.0,7465.753424657534,71.76923076923077,NULL,1123.0,NULL,1388.3383793410508,1083.291390728477
6,27/03/2019,ycsb-redis,workloads/workloada,2210,1710,121,272.0,8125.0,63.743801652892564,NULL,1081.0,NULL,4744.890841813136,3476.635075287865
7,27/03/2019,ycsb-redis,workloads/workloada,2240,1740,121,307.0,7296.4169381107495,54.21487603305785,NULL,1146.0,NULL,3221.370855148342,3131.4744058500914
8,27/03/2019,ycsb-redis,workloads/workloada,2270,1770,151,329.0,6899.696048632219,50.675496688741724,NULL,1141.0,NULL,9311.195442594215,7888.478299379983
9,27/03/2019,ycsb-redis,workloads/workloada,2300,1800,151,354.0,6497.175141242938,68.52980132450331,NULL,1157.0,NULL,6952.605012964564,6523.588801399825
